карьерный;9.0;0.0;2
юноша;7.0495049504950495;2.309585011044802;101
барышня;6.618705035971223;2.570993938899804;139
хозяйка;7.674556213017752;2.712125513882629;169
девушкаофициантка;7.087719298245614;2.7927267801514253;57
хостесса;6.875675675675676;2.8589740557707914;185
хостес;6.7475;2.8703211928284262;400
гардеробщик;6.432584269662922;2.950615067508212;178
девушкаофициант;7.01010101010101;2.962714253412353;99
сервис;6.795061728395062;2.9859122998680885;2835
смена;6.311538461538461;3.0469186102932717;260
ребята;7.40194489465154;3.061847004077756;617
кальянщик;6.338028169014085;3.0670610879987974;71
обслуживание;7.14288361749444;3.0775387505444995;5396
парнишка;7.052631578947368;3.1030322048386685;19
парень;6.5772357723577235;3.105222797032146;246
девушка;6.573025604038947;3.1193625567756333;2773
хозяин;6.393854748603352;3.1354285124294674;358
девочка;6.811133200795228;3.1582067205949373;503
офицант;6.14;3.17181336147006;100
посетитель;6.142953929539296;3.173701719162271;1476
мальчик;6.17948717948718;3.1834652533153873;312
персонал;7.209857408555487;3.19538019621931;3226
официант;6.422586750788644;3.256166331167412;7925
официантка;6.00102424035507;3.2785238523591462;2929
профессионализм;7.526315789473684;3.3362983119908205;152
бармен;6.117824773413897;3.408007645870348;662
работник;6.285714285714286;3.498541970359559;224
девочкиадминистратор;3.5;3.5;2
управляющий;6.600877192982456;3.5185472384393197;228
клиент;5.249190938511327;3.613685615149585;927
девочкиофициантка;7.208333333333333;3.6168490737411507;24
сотрудник;6.34037558685446;3.6820990453899083;426
админ;5.711587982832618;3.683403627784698;2330
администратор;5.689949748743719;3.709535383480512;1990
менеджер;5.774678111587983;3.807982693306942;466
девочкаофициантка;5.0;3.905124837953327;8
