самый вкусный,7.66623959001,2.36744832002,1561
играть живой музыка,7.66355140187,2.38744349733,107
бокал вино,7.08474576271,2.48884004047,531
овощ гриль,7.06324110672,2.50926200691,253
пятница вечер,6.90689655172,2.90806619411,290
зайти,nan,nan,0
вино,nan,nan,0
уровень,nan,nan,0
ножка,nan,nan,0
хлебный корзина,7.35714285714,2.10935346884,182
понравиться интерьер,7.54622871046,2.34315191116,2466
приятный интерьер,7.52909189777,2.39700211344,1839
горячий закуска,7.41620626151,2.45172070401,543
поделиться свой впечатление,7.575,2.91879684117,80
сделать заказ,6.10927573062,2.9990685312,787
данный ресторан,6.5597826087,3.10446942126,736
обращать внимание,6.36036036036,3.150840851,555
приносить,nan,nan,0
вкусный,nan,nan,0
прийти,nan,nan,0
вид,nan,nan,0
постоянный клиент,7.06832298137,3.42102418939,161
снимать,nan,nan,0
теплый,nan,nan,0
грудка,nan,nan,0
оливковый,nan,nan,0
одежда,nan,nan,0
говорить,nan,nan,0
корзина,nan,nan,0
дело,nan,nan,0
внешний вид,6.74074074074,2.50568626305,162
заказывать салат,6.78209658422,2.70729239608,1698
количество,nan,nan,0
салат,nan,nan,0
довольный,nan,nan,0
приносить быстро,6.87298747764,2.69597928644,1118
персонал,nan,nan,0
отмечать свадьба,8.51717902351,2.53870109577,553
обслуживание,nan,nan,0
праздновать свадьба,8.84269662921,2.32346220613,267
гриль,nan,nan,0
похвала,nan,nan,0
поделиться,nan,nan,0
заказывать столик,6.75205158265,2.84229051453,1706
крайний,nan,nan,0
приятный впечатление,7.42261251372,2.41389459949,911
заказ,nan,nan,0
большой порция,7.77912621359,2.09420170707,1236
чайник зеленый чай,7.01020408163,2.36252587918,98
посещать данный ресторан,6.82777777778,2.88642523154,180
ждать минута,5.52547770701,3.05485735088,942
обращать,nan,nan,0
самый приятный впечатление,7.48918918919,2.42757623353,370
огромный,nan,nan,0
праздновать,nan,nan,0
соседний,nan,nan,0
приятно проводить вечер,7.98496240602,2.71167057907,133
честно,nan,nan,0
соевый,nan,nan,0
эмоция,nan,nan,0
внешний,nan,nan,0
карта,nan,nan,0
горячий блюдо,7.1026293469,2.55799265438,1179
милый девушка,7.27235772358,2.66393561816,492
убирать грязный посуда,7.0,2.68741924943,72
знать свой дело,6.87272727273,2.82877773448,275
заказ принимать,6.11686586985,3.0257232304,753
гость,nan,nan,0
всякий,nan,nan,0
холодный,nan,nan,0
благодарность,nan,nan,0
посуда,nan,nan,0
хороший кухня,7.43101565344,2.54165712079,2747
оставлять желать хороший,5.55769230769,2.99463277278,208
стол,nan,nan,0
отмечать,nan,nan,0
попросить,nan,nan,0
вкусный порция большой,7.99828767123,1.88223412123,584
детский комната,7.7816091954,2.22537759863,261
достаточно,nan,nan,0
останавливать свой выбор,7.83333333333,2.36143788588,96
самый хороший,7.31338411317,2.56020975053,1838
высоко,nan,nan,0
оставаться,nan,nan,0
свободный столик,6.62571428571,2.9393724167,350
приносить счет,5.84664246824,2.95506003899,1102
город,nan,nan,0
быстро,nan,nan,0
место,nan,nan,0
оставлять,nan,nan,0
основной блюдо,7.31299212598,2.09293630714,508
хотеться,nan,nan,0
минута,nan,nan,0
утиный,nan,nan,0
