играть живой музыка,7.70093457944,2.4118668973,107
овощ гриль,7.24505928854,2.42092845035,253
пятница вечер,7.24827586207,2.82728341524,290
зайти,nan,nan,0
вино,nan,nan,0
уровень,nan,nan,0
ножка,nan,nan,0
утиный грудка,7.70491803279,2.15272806179,122
приятный интерьер,7.81022294725,2.25685684798,1839
понравиться интерьер,7.74614760746,2.27482149084,2466
хлебный корзина,7.43406593407,2.29513196155,182
самый вкусный,7.61434977578,2.4651106225,1561
горячий закуска,7.26151012891,2.78673044913,543
поделиться свой впечатление,7.4875,3.10239322943,80
сделать заказ,5.39644218551,3.27756806171,787
обращать внимание,5.66306306306,3.35255524245,555
приносить,nan,nan,0
вкусный,nan,nan,0
прийти,nan,nan,0
бокал вино,6.99246704331,2.80300144087,531
вид,nan,nan,0
постоянный клиент,6.18633540373,3.72202604439,161
снимать,nan,nan,0
теплый,nan,nan,0
данный ресторан,6.09510869565,3.33853944718,736
грудка,nan,nan,0
оливковый,nan,nan,0
одежда,nan,nan,0
говорить,nan,nan,0
корзина,nan,nan,0
дело,nan,nan,0
внешний вид,6.74074074074,2.69786279281,162
заказывать салат,6.79740871614,2.92246775597,1698
количество,nan,nan,0
салат,nan,nan,0
довольный,nan,nan,0
приносить быстро,6.59123434705,2.98598307071,1118
персонал,nan,nan,0
отмечать свадьба,8.37974683544,2.79506577787,553
обслуживание,nan,nan,0
праздновать свадьба,8.65917602996,2.69691529902,267
гриль,nan,nan,0
похвала,nan,nan,0
поделиться,nan,nan,0
заказывать столик,6.39566236811,3.14032202984,1706
крайний,nan,nan,0
приятный впечатление,7.57080131723,2.45154654811,911
заказ,nan,nan,0
большой порция,7.68608414239,2.32375530368,1236
чайник зеленый чай,7.18367346939,2.59255975774,98
ждать минута,4.27707006369,3.12456956074,942
обращать,nan,nan,0
самый приятный впечатление,7.62702702703,2.38606864819,370
огромный,nan,nan,0
праздновать,nan,nan,0
соседний,nan,nan,0
приятно проводить вечер,8.27819548872,2.40411108878,133
честно,nan,nan,0
посещать данный ресторан,5.79444444444,3.29089184505,180
соевый,nan,nan,0
эмоция,nan,nan,0
внешний,nan,nan,0
карта,nan,nan,0
горячий блюдо,7.09160305344,2.76904414697,1179
знать свой дело,6.84363636364,2.93088653274,275
заказ принимать,5.05444887118,3.31497619794,753
убирать грязный посуда,5.5,3.5,72
гость,nan,nan,0
всякий,nan,nan,0
холодный,nan,nan,0
благодарность,nan,nan,0
посуда,nan,nan,0
хороший кухня,7.4448489261,2.54785966353,2747
оставлять желать хороший,5.19711538462,3.11086670865,208
стол,nan,nan,0
отмечать,nan,nan,0
попросить,nan,nan,0
вкусный порция большой,7.84760273973,2.1587019834,584
останавливать свой выбор,8.08333333333,2.26231199342,96
детский комната,7.64750957854,2.40495249013,261
достаточно,nan,nan,0
самый хороший,7.37595212187,2.58597719734,1838
высоко,nan,nan,0
оставаться,nan,nan,0
свободный столик,6.26,3.20594982583,350
приносить счет,5.08076225045,3.21772148304,1102
город,nan,nan,0
быстро,nan,nan,0
место,nan,nan,0
оставлять,nan,nan,0
основной блюдо,7.23031496063,2.39834800001,508
хотеться,nan,nan,0
минута,nan,nan,0
утиный,nan,nan,0
подача блюдо,7.37026647966,2.46554081569,713
итальянский кухня,7.22903885481,2.62376571362,489
попросить счет,4.44736842105,3.1673834053,456
музыка,nan,nan,0
оставлять свой отзыв,6.1,3.2913306037,210
играть,nan,nan,0
заказывать,nan,nan,0
пасть,nan,nan,0
лист,nan,nan,0
овощ,nan,nan,0
томатный,nan,nan,0
ничто,nan,nan,0
свой,nan,nan,0
самый главное,7.70387243736,2.5153304066,439
соевый соус,6.42073170732,2.72518684993,164
большой компания,7.17948717949,2.79228296945,702
решать зайти,6.36316695353,3.12018903969,581
обслуживающий персонал,6.40465116279,3.63944497994,215
пюре,nan,nan,0
обязательно,nan,nan,0
живой,nan,nan,0
посещение,nan,nan,0
решать,nan,nan,0
свободный,nan,nan,0
зеленый,nan,nan,0
большой,nan,nan,0
блюдо,nan,nan,0
впечатление,nan,nan,0
подача,nan,nan,0
выражать,nan,nan,0
высоко всякий,8.63076923077,1.97602992894,195
знать,nan,nan,0
гость оставаться довольный,8.63662790698,2.46933429993,344
забронировать,nan,nan,0
положительный эмоция,8.18543046358,2.38484168192,151
приходиться,nan,nan,0
порция,nan,nan,0
